龙肝麟脯	lóng gān lín fǔ
彝鼎圭璋	yí  dǐng  guī  zhāng
疑误天下	yí  wù  tiān  xià
遗簪坠舄	yí  zān  zhuì  xì
遗簪坠珥	yí  zān  zhuì  ěr
遗簪弃舄	yí  zān  qì  xì
贻笑后人	yí  xiào  hòu  rén
依门卖笑	yī  mén  mài  xiào
依丱附木	yī  kuàng  fù  mù
依法砲制	yī  fǎ  pào  zhì
衣锦过乡	yì  jǐn  guò  xiāng
一坐尽倾	yī  zuò  jìn  qīng
一子悟道，九族生天	yī  zǐ  wù  dào，jiǔ  zú  shēng  tiān
一子出家，七祖昇天	yī  zǐ  chū  jiā，qī  zǔ  shēng  tiān
一重一掩	yī  chóng  yī  yǎn
一枝一栖	yī  zhī  yī  qī
一枕黄梁	yī  zhěn  huáng  liáng
一针一缐	yī  zhēn  yī  yú
一眨巴眼	yī  zhǎ  bā  yǎn
一迎一和	yī  yíng  yī  hé
一熏一莸	yī  xūn  yī  yóu
一厢情原	yī  xiāng  qíng  yuán
一相情原	yī  xiāng  qíng  yuán
一无所闻	yī  wú  suǒ  wén
一苇可航	yī  wěi  kě  háng
一网尽扫	yī  wǎng  jìn  sǎo
一身二任	yī  shēn  èr  rèn
一邱之貉	yī  qiū  zhī  hè
一掊土	yī  póu  tǔ
一品白衫	yī  pǐn  bái  shān
一嚬一笑	yī  pín  yī  xiào
一命鸣呼	yī  mìng  míng  hū
一暝不视	yī  míng  bù  shì
一雷二闪	yī  léi  èr  shǎn
一壸千金	yī  kuì  qiān  jīn
一篑之功	yī  kuì  zhī  gōng
一块石头落地	yī  kuài  shí  tóu  luò  dì
一孔不达	yī  kǒng  bù  dá
一脚不移	yī  jiǎo  bù  yí
一箭之遥	yī  jiàn  zhī  yáo
一家之计	yī  jiā  zhī  jì
一家老小	yī  jiā  lǎo  xiǎo
一褱而论	yī  huái  ér  lùn
一画开天	yī  huà  kāi  tiān
一虎不河	yī  hǔ  bù  hé
一呼再喏	yī  hū  zài  nuò
一狠二狠	yī  hěn  èr  hěn
一顾千金	yī  gù  qiān  jīn
一根一板	yī  gēn  yī  bǎn
一佛出世，二佛涅盘	yī  fó  chū  shì，èr  fó  niè  pán
一而光	yī  ér  guāng
一雕双兔	yī  diāo  shuāng  tù
一辞莫赞	yī  cí  mò  zàn
一差二悮	yī  chà  èr  wù
一不压众，百不随一	yī  bù  yā  zhòng，bǎi  bù  suí  yī
一笔抹摋	yī  bǐ  mò  sà
一斑窥豹	yī  bān  kuī  bào
野蔌山肴	yě  sù  shān  yáo
要价还价	yào  jià  huán  jià
咬血为盟	yǎo  xuè  wéi  méng
咬文齧字	yǎo  wén  niè  zì
摇头麰尾	yáo  tóu  móu  wěi
摇头稾脑	yáo  tóu  gǎo  nǎo
夭桃穠李	yāo  táo  nóng  lǐ
幺幺小丑	yāo  mó  xiǎo  chǒu
养精畜锐	yǎng  jīng  xù  ruì
养虎自齧	yǎng  hǔ  zì  niè
养虎为患	yǎng  hǔ  wéi  huàn
仰屋着书	yǎng  wū  zhù  shū
仰事俛畜	yǎng  shì  fǔ  chù
仰面唾天	yǎng  miàn  tuò  tiān
佯轮诈败	yáng  lún  zhà  bài
杨朱泣岐	yáng  zhū  qì  qí
杨柳依依	yáng  liǔ  yī  yī
羊肠九曲	yáng  cháng  jiǔ  qǔ
扬名四海	yáng  míng  sì  hǎi
燕颔书生	yàn  hàn  shū  shēng
燕颔儒生	yàn  hàn  rú  shēng
燕额虎头	yàn  é  hǔ  tóu
燕巢幙上	yàn  cháo  yú  shàng
燕安酖毒	yàn  ān  dān  dú
雁过留声	yàn  guò  liú  shēng
雁过拨毛	yàn  guò  bō  máo
雁泊人户	yàn  bó  rén  hù
晏安酖毒	yàn  ān  dān  dú
宴尔新婚	yàn  ěr  xīn  hūn
宴安酖毒	yàn  ān  dān  dú
眼饧耳热	yǎn  xíng  ěr  rè
眼观四路，耳听八方	yǎn  guān  sì  lù，ěr  tīng  bā  fāng
偃甲息兵	yǎn  jiǎ  xī  bīng
沿门讬钵	yán  mén  tuō  bō
言之有礼	yán  zhī  yǒu  lǐ
言语路绝	yán  yǔ  lù  jué
言行相悖	yán  xíng  xiāng  bèi
言多伤倖	yán  duō  shāng  xìng
言气卑弱	yan  qi  bei  ruo
严于律已	yán  yú  lǜ  jǐ
严霜烈日	yán  shuāng  liè  rì
严陈以待	yán  chén  yǐ  dài
烟炎张天	yān  yán  zhāng  tiān
循名覈实	xún  míng  hé  shí
询谋谘度	xún  móu  zī  dù
寻根追底	xún  gēn  zhuī  dǐ
薰天赫地	xūn  tiān  hè  dì
熏风解愠	xūn  fēng  jiě  yùn
熏莸同器	xún  yóu  tóng  qì
熏莸不同器	xún  yóu  bù  tóng  qì
雪窑冰天	xuě  jiào  bīng  tiān
雪操冰心	xuě  cāo  bīng  xīn
雪北香南	xuě  běi  xiāng  nán
旋转干坤	xuán  zhuǎn  gàn  kūn
旋干转坤	xuán  qián  zhuǎn  kūn
悬崕峭壁	xuán  yá  qiào  bì
悬鼗建铎	xuán  táo  jiàn  duó
悬梁刺骨	xuán  liáng  cì  gǔ
悬狟素飡	xuán  huán  sù  kòu
諠客夺主	xī  kè  duó  zhǔ
揎拳捰袖	xuān  quán  lǒng  xiù
揎拳拢袖	xuān  quán  lǒng  xiù
酗酒滋事	xù  jiǔ  zī  shì
需沙出穴	xū  shā  chū  xué
虚无飘渺	xū  wú  piāo  miǎo
虚废词说	xū  fèi  cí  shuō
须发皆白	xū  fà  jiē  bái
朽木难彫	xiǔ  mù  nán  diāo
朽棘不彫	xiǔ  jí  bù  diāo
脩辞立诚	xiū  cí  lì  chéng
熊罴百万	xióng  pí  bǎi  wàn
雄伟壮观	xióng  wěi  zhuàng  guān
雄鸡夜鸣	xióng  jī  yè  míng
胸有鳞甲	xiōng  yǒu  lín  jiǎ
凶终隙未	xiōng  zhōng  xì  wèi
形单影双	xíng  dān  yǐng  shuāng
行香挂牌	xíng  xiāng  guà  pái
行崄侥幸	xíng  xiǎn  jiǎo  xìng
行险徼幸	xíng  xiǎn  jiǎo  xìng
行侠好义	xíng  xiá  hào  yì
行色怱怱	xíng  sè  cōng  cōng
行行蛇蚓	háng  háng  shé  yǐn
腥风醎雨	xīng  fēng  xián  yǔ
心同止水	xīn  rú  zhǐ  shuǐ
心上心下	xīn  shàng  xīn  xià
心如刀剉	xīn  rú  dāo  yíng
心巧嘴乖	xīn  qiǎo  zuǐ  guāi
