背锅睡在坟顶上	不知手脚高低
棺材里打架	死对头
肚子里怀了个地图	知晓天下事
煤球搬家	倒霉 倒煤
背锅睡在墓圪堆上	不知脚手高低
酒楼例汤	整定
鲜花插在了牛粪上	不相配
篾条贯豆腐	提不得
张公养鸟	越养越小 死多活少
闫王爷的炒器勒	鬼豆豆儿
棺材顶烧炮杖	吓死人
天津的萝卜	心里美
三尺的城门五尺汉	不能不低头
哑巴被狗咬	有口难言
散了的戏	收场了
倒了磨砸碾	石打石 实打实
猪八戒卖猪肝	难得的心肠
蛤蟆跌进屎坑	开不得口
李香香死了丈夫	没有喜望 没有希望
最宽的视野	一览无余
葫芦里灌水	吞吞吐吐
大寺的白果树	寿星
红薯眨巴眼	活苕
老何家姑娘嫁给老郑家	郑何氏 正合适
正月十五贴吊钱	晚了半个月
芦席上滚到地下	差不多 差勿多
当家神卖土地	一贫如洗
大年五更吃饺子	没外人 没有外人
讨吃子娶他妈	穷接擦 穷将就
韦驮耍宝剑	无主 无杵
屎壳郎赶庙会	一群一帮的
盲人给盲人带略	瞎扯
出门在外	人生 人参
招财进	宝
吃甘蔗渣子	没有味
饥了吃鞋帮	心中有底
老鹰不落地	干旋
火赤练出须	老蛇
一两面熬锅饭	不愁 不稠
多吃鸡下巴	就爱搭嘴
裙子套着裤子穿	不男不女
杉树尾	不够料 不成材
大道边儿的驴	谁爱骑就骑
飞机上吊电壶	水平高
石板上剁猪头	难下刀
灶王爷嘴上抹糖	拣甜话说
脚拐上抹眼泪	哭得好痛
狗舔砂罐	没得味
花盆里种庄稼	收获不大
鸭吃螺蛳	囫囵吞
灶火里列蛤蟆	灰爬
瞎子买鞋	摸摸脚
脚后跟扎刀子	离心远着哩 离心远着哪
脑门上抹糨子	糊涂到底了 糊涂到顶了
赶母猪上树	硬逼
庙儿后头筛灰渣	荡扑泥胎木偶哩 荡扑神神郎家哩
麻雀爪子上宴会	小蹄大作 小题大做
老和尚种黍子	干忙吃不上
瞎子去石头	乱扔
屋里喂老虎	不怕死 死都不怕
三十晚上晒衣裳	今年不干明年干
头上插鸡翎	好威风
土地爷卖房子	神不住 盛不住
打呼噜听见放炮仗	吓了一大跳
屎缸边吃月饼	不好开口
趁着热汤下笊篱	赶紧 正是时候
聋子拉二胡	胡扯 瞎扯
大米里头撒黑豆	现撒撒了
胡萝卜开花	打伞
罗汉骑牲口	马上见鬼
吃了火墨炭	黑了心
喇叭手敲鼓	自吹自擂
翰林院里打黄伞	到了何等地步
耩看耧眼	走着瞧
小二姐的裹脚	又臭又长 又长又臭
青藤缠老树	扭得紧
枕头底下的风	听也是听,不听也是听
济公出家	吃荤不吃素
老猴掰玉米	专拣嫩的捏
属捻捻转的	拨到哪儿在哪儿
姜太公里坐骑	四不像
灰鼠摘月亮	高攀不上
麻将牌夺勒河里	牌潮
园里选瓜	越选越差
叫花子吃螃蟹	津津有味 只只好
苞米棒喘气儿	吹胡子
汤罐里的小麦	面熟
扁担拍倒	一字平
养媳妇哭老公	说不出的苦
额头上戴毛壳刺	假充马鹿
赵匡胤赌钱	输打赢要 输打羸要
拆啧观音堂,造啧五圣殿	勿合算
皇帝老爷伸脚	灯笼 登龙
癞格宝戴眼镜	假充地理先生
秃子头上的疤	明摆着
狗食猪利	噍舌头 胡言乱语
鸡蛋壳里睡觉	想得宽绰
潘仁美领兵	苦了杨家将
精屁股撵狼	胆大不害羞
孙猴儿掉井里	心里凉透了
火烧水浸柴	难燃 难言
豆油氽黄豆	诈自家人 炸自家人
脱了水的海蜇子	软了下来
锦被遮鸡笼	做面
麻子吃辣豆腐	辣麻辣麻
十二岁出嫁	活做孽
张飞的胡子	满脸 硬碜 满脸都是 硬茬 硬岔 楂楂子 乱安
黄鼠狼叼鸡	有去无回
瘸子和尚说法	能说不能行
从斜门缝看人	怎么看怎么歪
大锤打在铁砧上	声声脆
寿星佬上吊	活得不耐烦了
豆芽子长一房高	也是菜 也是个吃菜货
皇帝挑媳妇	不嫁也得嫁,嫁也得嫁
抬头掉帽子	太望高了
吃饭淘米汤	过粥瘾
磨道里寻你的驴蹄印	哪还有寻不见的
官老爷下轿	步行 不行
留作种子的黄瓜	挂起来了
煤粉石灰掺一起	黑白不分 混淆黑白
盐罐子里冒烟	盐气 厌弃 咸气 嫌弃
狗咬壮腿	无处下口
面店里跌筋斗	粉身碎骨
梦黑里结婚	好事不成
怀里放炮	心里想 心里响
半斤面倒在尿壶里	和不成了 活不成了
塘里的莲花	根连着根
山西驴子不拽车	由不了它的意
朝廷爷的茅车	亮塌地哩
掏火棒儿短	强似手
猪八戒睡大觉	酣声如雷
马打架	看蹄 看题 不顾脸面
花蛇过溪	弯弯曲曲
如来佛身上贴膏药	佛帖 服帖
独眼龙看戏	一目了然
驼子背人	顶心
铁锤砸在被窝里	没回音 无回音 没反应 不见反应
土地菩萨淌汗	神虚
秋后的蛸蛸	不吱声了
喝血的蚊子	全凭嘴伤人
盘子里的鱼	休想动弹
